BHB_name	l	b
J1149+2828a 	203.75 	76.21
J1204+1947a 	244.48 	76.91
J1212+2826a 	202.09 	81.25
J1217+2104a 	249.04 	80.15
J1218+2951a 	190.56 	82.17
J1219+2559a 	220.12 	82.75
J1223+0002a 	288.09 	62.12
J1226+1749a 	270.18 	79.1
J1229+2101a 	262.79 	82.15
J1230+2052a 	264.28 	82.11
J1231+3719a 	144.42 	78.95
J1236+2837a 	187.14 	86.45
J1239+2937a 	169.06 	86.34
J1240+2746a 	196.78 	87.58
J1241+2909a 	170.17 	86.98
J1242+2126a 	281.86 	83.92
J1243+2842a 	169.16 	87.7
J1244+2939a 	154.38 	87.02
J1248+0947a 	300.23 	72.65
J1251+3849a 	123.17 	78.3
J1255+0924a 	306.39 	72.25
J1258+1939a 	316.36 	82.33
J1314+1751a 	333.68 	79.35
J1325+2232aa 	4.02 	81.03
J1325+2232ab 	4.44 	80.94
J1341+2824a 	42.43 	78.86
J1344+1842a 	0.89 	75.26
J1347+1811a 	1.35 	74.24
J1413+5621a 	101.86 	57.27
J1415+3716a 	67.91 	69.51
J1420+5520a 	99.24 	57.49
J1215+2315a 	236.71 	81.1
J1234+4437a 	132.79 	72.18
J1243+2931a 	157.98 	87.05
J1259+1552a 	313.25 	78.58
J1310+2514a 	10.35 	85.29
J1324+2038a 	354.12 	80.03
J1341+2801a 	40.49 	78.92
J1215+3202a 	178.93 	80.69
J1216+3004a 	189.7 	81.87
J1223+3641a 	153.0 	78.75
J1244+2926a 	156.7 	87.21
J1306+2003a 	329.62 	82.15
J1307+2224a 	340.58 	84.1
J1324+2418a 	14.28 	81.96
J1335+2820a 	42.56 	80.12
J1338+2345a 	17.93 	78.88
J1341+2829a 	42.88 	78.82
J1342+2828a 	42.66 	78.59
J1332+2054a 	1.88 	78.67
J1341+2806a 	40.82 	78.79
J1527+4027a 	65.65 	55.23
J1534+5015a 	80.97 	51.45
J1341+2823a 	42.39 	78.89
