# cubename  cra   cdec    min_ra    max_ra   min_dec   max_dec
 CAR_A01     10    -80      0.00     21.08    -89.92    -68.92
 CAR_A02     30    -80     19.00     41.08    -89.92    -68.92
 CAR_A03     50    -80     39.00     61.08    -89.92    -68.92
 CAR_A04     70    -80     59.00     81.08    -89.92    -68.92
 CAR_A05     90    -80     79.00    101.08    -89.92    -68.92
 CAR_A06    110    -80     99.00    121.08    -89.92    -68.92
 CAR_A07    130    -80    119.00    141.08    -89.92    -68.92
 CAR_A08    150    -80    139.00    161.08    -89.92    -68.92
 CAR_A09    170    -80    159.00    181.08    -89.92    -68.92
 CAR_A10    190    -80    179.00    201.08    -89.92    -68.92
 CAR_A11    210    -80    199.00    221.08    -89.92    -68.92
 CAR_A12    230    -80    219.00    241.08    -89.92    -68.92
 CAR_A13    250    -80    239.00    261.08    -89.92    -68.92
 CAR_A14    270    -80    259.00    281.08    -89.92    -68.92
 CAR_A15    290    -80    279.00    301.08    -89.92    -68.92
 CAR_A16    310    -80    299.00    321.08    -89.92    -68.92
 CAR_A17    330    -80    319.00    341.08    -89.92    -68.92
 CAR_A18    350    -80    339.00    360.00    -89.92    -68.92
 CAR_B01     10    -60      0.00     21.08    -71.00    -48.92
 CAR_B02     30    -60     19.00     41.08    -71.00    -48.92
 CAR_B03     50    -60     39.00     61.08    -71.00    -48.92
 CAR_B04     70    -60     59.00     81.08    -71.00    -48.92
 CAR_B05     90    -60     79.00    101.08    -71.00    -48.92
 CAR_B06    110    -60     99.00    121.08    -71.00    -48.92
 CAR_B07    130    -60    119.00    141.08    -71.00    -48.92
 CAR_B08    150    -60    139.00    161.08    -71.00    -48.92
 CAR_B09    170    -60    159.00    181.08    -71.00    -48.92
 CAR_B10    190    -60    179.00    201.08    -71.00    -48.92
 CAR_B11    210    -60    199.00    221.08    -71.00    -48.92
 CAR_B12    230    -60    219.00    241.08    -71.00    -48.92
 CAR_B13    250    -60    239.00    261.08    -71.00    -48.92
 CAR_B14    270    -60    259.00    281.08    -71.00    -48.92
 CAR_B15    290    -60    279.00    301.08    -71.00    -48.92
 CAR_B16    310    -60    299.00    321.08    -71.00    -48.92
 CAR_B17    330    -60    319.00    341.08    -71.00    -48.92
 CAR_B18    350    -60    339.00    360.00    -71.00    -48.92
 CAR_C01     10    -40      0.00     21.08    -51.00    -28.92
 CAR_C02     30    -40     19.00     41.08    -51.00    -28.92
 CAR_C03     50    -40     39.00     61.08    -51.00    -28.92
 CAR_C04     70    -40     59.00     81.08    -51.00    -28.92
 CAR_C05     90    -40     79.00    101.08    -51.00    -28.92
 CAR_C06    110    -40     99.00    121.08    -51.00    -28.92
 CAR_C07    130    -40    119.00    141.08    -51.00    -28.92
 CAR_C08    150    -40    139.00    161.08    -51.00    -28.92
 CAR_C09    170    -40    159.00    181.08    -51.00    -28.92
 CAR_C10    190    -40    179.00    201.08    -51.00    -28.92
 CAR_C11    210    -40    199.00    221.08    -51.00    -28.92
